,zone_number,county,road_type_descri_ption,road_name,fatal_collisions,serious_collisions,minor_collisions,total_collisions,start_latitude,start_longtitude,end_latitude,end_longtitude,length_km,type
0,248,Dublin,Regional,R132,0,1,7,8,53.599967,-6.185746,53.61281,-6.188607,1.59,Current
1,249,Dublin,Regional,R127,0,1,0,1,53.586151,-6.143006,53.597129,-6.16165,1.98,Current
2,251,Dublin,Regional,R106,0,2,11,13,53.45116,-6.147267,53.416024,-6.178003,5.31,Current
3,252,Dublin,Regional,R132,0,0,12,12,53.413129,-6.238984,53.427707,-6.229529,1.86,Current
4,254,Dublin,Local,L3016,0,1,2,3,53.390356,-6.408635,53.401188,-6.400307,1.36,Current
5,255,Dublin,Local,L3090,0,2,3,5,53.403943,-6.358805,53.398081,-6.332871,2.08,Current
6,256,Dublin,Regional,R135,2,6,39,47,53.403398,-6.310797,53.367585,-6.272903,5.09,Current
7,257,Dublin,Regional,R816,0,1,26,27,53.332064,-6.235711,53.333802,-6.244927,0.66,Current
8,259,Dublin,Regional,R817,0,5,35,40,53.30277,-6.308635,53.326326,-6.278169,3.62,Current
9,261,Dublin,Regional,R113,0,1,19,20,53.308705,-6.386186,53.285648,-6.365907,3.01,Current
10,262,Dublin,Regional,R112,0,4,35,39,53.317547,-6.333834,53.338384,-6.34787,3.0,Current
11,263,Dublin,Regional,R121,0,1,3,4,53.414267,-6.386413,53.402639,-6.39721,1.5,Current
12,264,Dublin,Regional,R101,2,7,69,78,53.360544,-6.269381,53.350146,-6.233991,2.77,Current
13,355,Dublin,Regional,R135,0,2,12,14,53.522083,-6.412121,53.455111,-6.347932,8.64,Current
14,478,Dublin,Regional,R128,0,0,7,7,53.523785,-6.091347,53.521953,-6.147831,4.21,Current
15,479,Dublin,Regional,R126,0,1,3,4,53.493484,-6.122774,53.485324,-6.150638,2.27,Current
16,480,Dublin,Regional,R104,0,5,19,24,53.39709,-6.235341,53.389558,-6.197874,2.74,Current
17,481,Dublin,Regional,R807,0,1,6,7,53.362656,-6.178714,53.359736,-6.200128,1.62,Current
18,482,Dublin,Regional,R103,0,1,4,5,53.388009,-6.299572,53.390784,-6.319665,1.4,Current
19,483,Dublin,Regional,R107,0,5,36,41,53.382936,-6.205513,53.364481,-6.229493,2.65,Current
20,484,Dublin,Regional,R147,2,3,17,22,53.361648,-6.298391,53.371854,-6.331091,2.46,Current
21,485,Dublin,Regional,R147,0,3,26,29,53.361613,-6.298172,53.360746,-6.272876,1.69,Current
22,486,Dublin,Regional,R135,0,3,27,30,53.36423,-6.27177,53.354469,-6.273307,1.11,Current
23,488,Dublin,Regional,R803,1,5,44,50,53.362797,-6.236774,53.349935,-6.267989,2.61,Current
24,489,Dublin,Regional,R105,2,10,70,82,53.36678,-6.220558,53.348989,-6.251547,3.04,Current
25,490,Dublin,Regional,R148,0,17,82,99,53.344315,-6.3276,53.348965,-6.251631,5.4,Current
26,491,Dublin,Regional,R148,0,6,57,63,53.348523,-6.251526,53.346875,-6.290776,2.79,Current
